"COLUMN_NAME","COMMENTS"
"F054N_0292","递延所得税资产减少"
"F055N_0292","递延所得税负债增加"
"F056N_0292","存货的减少"
"F057N_0292","经营性应收项目的减少"
"F058N_0292","经营性应付项目的增加"
"RECORD_NUM","篮子里股票数"
"NAV","单位净值"
"NAV_PER_CU","最小申赎单位资产净值(元)"
"PUBLISH","是否公布IOPV"
"CASH_COMPONENT","现金差额(单位:元)"
"FUND_CODE","基金代码"
"ESTIMATE_CASH_COMPONENT","预估现金差额(单位:元)"
"PREV_TRADE_DATE","前一交易日"
"CREATION","是否开放申购"
"REDEMPTION","是否开放赎回"
"MAX_CASH_RATIO","现金替代比例上限"
"CREATION_REDEMPTION_UNIT","最小申购赎回单位 (单位:份）"
"TRADE_DATE","交易日期"
"CASH_WARRANT_RATIO","现金替代保证金率"
"FIXED_CASH_AMOUNT","固定替代金额"
"CASH_SUBSTITUTION","现金替代标志"
"NUMBER_SHARE","证券数量"
"SECURITY_NAME","证券名称"
"FUND_CODE","基金代码"
"TRADE_DATE","交易日期"
"SECURITY_CODE","证券代码"
"TRAD_DATE","交易日期"
"TRAD_TIME","交易时间"
"POLICY_TYPE","策略类型：1为资金牛，2为行业轮动，3为关注点"
"FLAG","是否处理成功，1为成功，0为失败"
"OB_SEQ_ID","序列号"
"F0146_018N","存放同业款项"
"F0146_019N","结算备付金"
"F0146_020N","其中:客户备付金"
"F0146_021N","贵金属"
"F0146_022N","拆出资金"
"F0146_069N","应付保单红利"
"F0146_070N","保户储金及投资款"
"F0146_071N","未到期责任准备金"
"F0146_072N","未决赔款准备金"
"F0146_073N","寿险责任准备金"
"F0146_074N","长期健康险责任准备金"
"F0146_075N","长期借款"
"F0146_076N","应付债券"
"F0146_077N","独立账户负债"
"F0146_078N","递延所得税负债"
"F0146_079N","其他负债"
"F0146_080N","负债合计"
"F0146_081N","实收资本(或股本)"
"F0146_082N","资本公积"
"F0146_083N","减：库存股"
"F0146_084N","盈余公积"
"F0146_085N","一般风险准备"
"F0146_023N","交易性金融资产"
"F0146_024N","衍生金融资产"
"F0146_025N","买入返售金融资产"
"F0146_026N","应收利息"
"F0146_027N","应收保费"
"F0146_028N","应收代位追偿款"
"F0146_029N","应收分保账款"
"F0146_030N","应收分保未到期责任准备金"
"F0146_031N","应收分保未决赔款准备金"
"F0146_032N","应收分保寿险责任准备金"
"F0146_033N","应收分保长期健康险责任准备金"
"F0146_034N","保户质押贷款"
"F0146_035N","定期存款"
"F0146_036N","发放贷款和垫款"
"F0146_037N","存出保证金"
"F0146_038N","可供出售金融资产"
"F0146_039N","持有至到期投资"
"F0146_040N","长期股权投资"
"F0146_041N","存出资本保证金"
"F0146_042N","投资性房地产"
"F0146_043N","固定资产"
"F0146_044N","无形资产"
"F0146_045N","其中：交易席位费"
"F0146_046N","独立账户资产"
"F0146_047N","递延所得税资产"
"F0146_048N","其他资产"
"F0146_049N","资产总计"
"F0146_050N","向中央银行借款"
"F0146_051N","同业及其他金融机构存放款项"
"F0146_052N","短期借款"
"F0146_053N","其中：质押借款"
"F0146_054N","拆入资金"
"F0146_055N","交易性金融负债"
"F0146_056N","衍生金融负债"
"F0146_057N","卖出回购金融资产款"
"F0146_058N","吸收存款"
"F0146_059N","代理买卖证券款"
"F0146_060N","代理承销证券款"
"F0146_061N","预收保费"
"F0146_062N","应付手续费及佣金"
"F0146_063N","应付分保账款"
"F0146_064N","应付职工薪酬"
"F0146_065N","应交税费"
"F0146_066N","应付利息"
"F0146_067N","预计负债"
"F0146_068N","应付赔付款"
"F0146_086N","未分配利润"
"F0146_087N","少数股东权益"
"F0146_088N","外币报表折算差额"
"F0146_089N","所有者权益(或股东权益)合计"
"F0146_090N","负债和所有者权益(或股东权益)总计"
"OB_SEQ_ID","序列号"
"F0146_001V","机构ID"
"F0146_002V","机构名称"
"F0146_003D","公告日期"
"F0146_005D","截止日期"
"F0146_006D","报告年度(yyyy-03-31为一季度;yyyy-06-30为中报;yyyy-09-30为三级报;yyyy-12-31为年报)"
"F0146_007V","合并类型编码"
"F0146_008V","合并类型(合并本期，合并上期，母公司本期，母公司上期)"
"F0146_009V","报表来源编码"
"F0146_010V","报表来源"
"F0146_015N","现金及存放中央银行款项"
"F0146_016N","货币资金"
"F0146_017N","其中:客户资金存款"
"F0146_082N","资本公积"
"F0146_083N","减：库存股"
"F0146_084N","盈余公积"
"F0146_085N","一般风险准备"
"F0146_086N","未分配利润"
"F0146_087N","少数股东权益"
"F0146_088N","外币报表折算差额"
"F0146_089N","所有者权益(或股东权益)合计"
"F0146_090N","负债和所有者权益(或股东权益)总计"
"F0146_027N","应收保费"
"F0146_028N","应收代位追偿款"
"F0146_029N","应收分保账款"
"F0146_030N","应收分保未到期责任准备金"
"F0146_031N","应收分保未决赔款准备金"
"F0146_032N","应收分保寿险责任准备金"
"F0146_033N","应收分保长期健康险责任准备金"
"F0146_034N","保户质押贷款"
"F0146_035N","定期存款"
"F0146_036N","发放贷款和垫款"
"F0146_037N","存出保证金"
"F0146_038N","可供出售金融资产"
"F0146_039N","持有至到期投资"
"F0146_040N","长期股权投资"
"F0146_041N","存出资本保证金"
"F0146_042N","投资性房地产"
"F0146_043N","固定资产"
"F0146_044N","无形资产"
"F0146_045N","其中：交易席位费"
"F0146_046N","独立账户资产"
"F0146_047N","递延所得税资产"
"F0146_048N","其他资产"
"F0146_049N","资产总计"
"F0146_050N","向中央银行借款"
"F0146_051N","同业及其他金融机构存放款项"
"F0146_052N","短期借款"
"F0146_053N","其中：质押借款"
"F0146_054N","拆入资金"
"F0146_055N","交易性金融负债"
"F0146_056N","衍生金融负债"
"F0146_057N","卖出回购金融资产款"
"F0146_058N","吸收存款"
"F0146_059N","代理买卖证券款"
"F0146_060N","代理承销证券款"
"OB_SEQ_ID","序列号"
"F0146_001V","机构ID"
"F0146_002V","机构名称"
"F0146_003D","公告日期"
"F0146_005D","截止日期"
"F0146_006D","报告年度(yyyy-03-31为一季度;yyyy-06-30为中报;yyyy-09-30为三级报;yyyy-12-31为年报)"
"F0146_007V","合并类型编码"
"F0146_008V","合并类型(合并本期，合并上期，母公司本期，母公司上期)"
"F0146_009V","报表来源编码"
"F0146_010V","报表来源"
"F0146_015N","现金及存放中央银行款项"
"F0146_016N","货币资金"
"F0146_017N","其中:客户资金存款"
"F0146_018N","存放同业款项"
"F0146_019N","结算备付金"
"F0146_020N","其中:客户备付金"
"F0146_021N","贵金属"
"F0146_022N","拆出资金"
"F0146_023N","交易性金融资产"
"F0146_024N","衍生金融资产"
"F0146_025N","买入返售金融资产"
"F0146_026N","应收利息"
"F0146_061N","预收保费"
"F0146_062N","应付手续费及佣金"
"F0146_063N","应付分保账款"
"F0146_064N","应付职工薪酬"
"F0146_065N","应交税费"
"F0146_066N","应付利息"
"F0146_067N","预计负债"
"F0146_068N","应付赔付款"
"F0146_069N","应付保单红利"
"F0146_070N","保户储金及投资款"
"F0146_071N","未到期责任准备金"
"F0146_072N","未决赔款准备金"
"F0146_073N","寿险责任准备金"
"F0146_074N","长期健康险责任准备金"
"F0146_075N","长期借款"
"F0146_076N","应付债券"
"F0146_077N","独立账户负债"
"F0146_078N","递延所得税负债"
"F0146_079N","其他负债"
"F0146_080N","负债合计"
"F0146_081N","实收资本(或股本)"
"F0152_049N","营业利润"
"F0152_050N","营业外收入"
"F0152_051N","营业外支出"
"F0152_052N","利润总额"
"F0152_053N","所得税费用"
"F0152_054N","净利润"
"F0152_055N","归属于母公司所有者的净利润"
"F0152_056N","少数股东损益"
"F0152_057N","基本每股收益"
"F0152_058N","稀释每股收益"
"OB_SEQ_ID","序列号"
"F0152_059N","加：补贴收入"
"F0152_060N","加：影响利润总额的其他科目"
"F0152_001V","机构ID"
"F0152_002V","机构名称"
"F0152_003D","公告日期"
"F0152_004D","开始日期"
"F0152_005D","截止日期"
"F0152_006D","报告年度(yyyy-03-31为一季度;yyyy-06-30为中报;yyyy-09-30为三级报;yyyy-12-31为年报)"
"F0152_007V","合并类型编码"
"F0152_008V","合并类型(合并本期，合并上期，母公司本期，母公司上期)"
"F0152_009V","报告来源编码"
"F0152_010V","报告来源"
"F0152_011V","季度标识(1为1季度，2为2季度，3为3季度，4为4季度，5为前半年，6为后半年)"
"F0152_015N","营业收入"
"F0152_016N","利息净收入"
"F0152_017N","利息收入"
"F0152_018N","利息支出"
"F0152_019N","手续费及佣金净收入"
"F0152_020N","手续费及佣金收入"
"F0152_021N","手续费及佣金支出"
"F0152_022N","其中：代理买卖证券业务净收入"
"F0152_023N","其中：证券承销业务净收入　"
"F0152_024N","其中：委托客户资产管理业务净收入"
"F0152_025N","已赚保费"
"F0152_026N","保险业务收入"
"F0152_027N","其中：分保费收入"
"F0152_028N","减：分出保费"
"F0152_029N","减：提取未到期责任准备金"
"F0152_030N","投资收益"
"F0152_031N","其中：对联营企业和合营企业的投资收益"
"F0152_032N","公允价值变动收益"
"F0152_033N","汇兑损益"
"F0152_034N","其他业务收入"
"F0152_035N","营业支出"
"F0152_036N","退保金"
"F0152_037N","赔付支出"
"F0152_038N","减：摊回赔付支出"
"F0152_039N","提取保险责任准备金"
"F0152_040N","减：摊回保险责任准备金"
"F0152_041N","保单红利支出"
"F0152_042N","分保费用"
"F0152_043N","营业税金及附加"
"F0152_044N","手续费及佣金支出"
"F0152_061N","加：影响净利润的其他科目"
"F0152_062V","备注"
"F0152_045N","业务及管理费"
"F0152_046N","减：摊回分保费用"
"F0152_047N","资产减值损失"
"F0152_048N","其他业务支出"
"F0152_027N","其中：分保费收入"
"F0152_026N","保险业务收入"
"F0152_029N","减：提取未到期责任准备金"
"F0152_030N","投资收益"
"F0152_031N","其中：对联营企业和合营企业的投资收益"
"F0152_032N","公允价值变动收益"
"F0152_033N","汇兑损益"
"F0152_034N","其他业务收入"
"F0152_035N","营业支出"
"F0152_036N","退保金"
"F0152_037N","赔付支出"
"F0152_038N","减：摊回赔付支出"
"F0152_039N","提取保险责任准备金"
"F0152_040N","减：摊回保险责任准备金"
"F0152_041N","保单红利支出"
"F0152_042N","分保费用"
"F0152_043N","营业税金及附加"
"F0152_044N","手续费及佣金支出"
"F0152_045N","业务及管理费"
"F0152_046N","减：摊回分保费用"
"F0152_047N","资产减值损失"
"F0152_048N","其他业务支出"
"F0152_049N","营业利润"
"F0152_050N","营业外收入"
"F0152_051N","营业外支出"
"F0152_052N","利润总额"
"F0152_053N","所得税费用"
"F0152_054N","净利润"
"F0152_055N","归属于母公司所有者的净利润"
"F0152_056N","少数股东损益"
"F0152_057N","基本每股收益"
"F0152_058N","稀释每股收益"
"OB_SEQ_ID","序列号"
"F0152_059N","加：补贴收入"
"F0152_060N","加：影响利润总额的其他科目"
"F0152_061N","加：影响净利润的其他科目"
"F0152_062V","备注"
"F0152_001V","机构ID"
"F0152_002V","机构名称"
"F0152_003D","公告日期"
"F0152_004D","开始日期"
"F0152_005D","截止日期"
"F0152_006D","报告年度(yyyy-03-31为一季度;yyyy-06-30为中报;yyyy-09-30为三级报;yyyy-12-31为年报)"
"F0152_007V","合并类型编码"
"F0152_008V","合并类型(合并本期，合并上期，母公司本期，母公司上期)"
"F0152_009V","报告来源编码"
"F0152_010V","报告来源"
